
> my-app@0.1.0 dev
> next dev --hostname 0.0.0.0 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env.local

✓ Starting...
✓ Ready in 913ms
 GET / 200 in 639ms (compile: 549ms, render: 90ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 37ms (compile: 1304µs, render: 35ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 1748µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1159µs, render: 30ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1401µs, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1244µs, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 30ms (compile: 1227µs, render: 28ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 22ms (compile: 1039µs, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 22ms (compile: 1130µs, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1715µs, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 35ms (compile: 1262µs, render: 34ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 42ms (compile: 1175µs, render: 41ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1029µs, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 34ms (compile: 6ms, render: 28ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 36ms (compile: 2ms, render: 33ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1779µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 1343µs, render: 26ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 1667µs, render: 23ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 26ms (compile: 1882µs, render: 24ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 36ms (compile: 3ms, render: 32ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 1616µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 22ms (compile: 1126µs, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 22ms (compile: 1573µs, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 2ms, render: 23ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 4ms, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 2ms, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 1936µs, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 40ms (compile: 1851µs, render: 38ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 40ms (compile: 1985µs, render: 38ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 6ms, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 30ms (compile: 1057µs, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 30ms (compile: 1733µs, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1129µs, render: 30ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 1362µs, render: 32ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 1179µs, render: 24ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 34ms (compile: 1247µs, render: 33ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1917µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 1216µs, render: 24ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 35ms (compile: 3ms, render: 32ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1989µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 1331µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1665µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 3ms, render: 20ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 1718µs, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 2ms, render: 23ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 43ms (compile: 1065µs, render: 42ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 34ms (compile: 8ms, render: 26ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 1211µs, render: 24ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 34ms (compile: 2ms, render: 32ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 72ms (compile: 1687µs, render: 71ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 72ms (compile: 1348µs, render: 71ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1843µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1638µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 34ms (compile: 3ms, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 35ms (compile: 1000µs, render: 34ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 36ms (compile: 1191µs, render: 35ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1039µs, render: 30ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 1027µs, render: 32ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 38ms (compile: 6ms, render: 32ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 1890µs, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 1240µs, render: 32ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1267µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 30ms (compile: 1297µs, render: 29ms)
